name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
Yusuf Pathan,India,40,,batting-allrounder,right-handed-bat,right-arm-offbreak,5,236,18.15,146.58,0,11,17,44,3204,29.13,142.97,13,262,158,13,8.62,33.69,23.46,42,7.4,33.69,27.31,kolkata-knight-riders,2014,32500000
Shakib Al Hasan,Bangladesh,35,,batting-allrounder,left-handed-bat,left-arm-orthodox,10,2243,23.12,121.84,12,225,47,12,793,19.82,124.49,2,73,21,128,6.83,21.21,18.63,63,7.44,29.19,23.56,kolkata-knight-riders,2014,28000000
Morne Morkel,South Africa,38,,bowler,left-handed-bat,right-arm-fast,5,22,7.33,122.22,0,3,1,12,126,11.45,140.0,0,11,5,47,7.51,25.34,20.26,77,7.69,27.13,21.16,kolkata-knight-riders,2014,28000000
Vinay Kumar,India,38,,bowler,right-handed-bat,right-arm-fast-medium,1,2,0.0,50.0,0,0,0,18,310,11.07,113.14,0,21,9,10,7.84,24.7,18.9,105,8.39,28.25,20.2,kolkata-knight-riders,2014,28000000
Umesh Yadav,India,35,,bowler,right-handed-bat,right-arm-fast,1,22,22.0,104.76,0,2,0,27,177,9.83,105.36,0,15,8,12,9.33,23.33,15.0,135,8.37,29.02,20.81,kolkata-knight-riders,2014,26000000
Manish Pandey,India,33,,batsman,right-handed-bat,right-arm-medium,17,709,44.31,126.16,3,49,19,27,3648,29.9,121.52,21,317,105,-,-,-,-,-,-,-,-,kolkata-knight-riders,2014,17000000
Chris Lynn,Australia,32,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.67,0,28,14,3,1329,34.08,140.63,10,132,66,-,-,-,-,-,-,-,-,kolkata-knight-riders,2014,13000000
Pat Cummins,Australia,29,6.29952,bowler,right-handed-bat,right-arm-fast,11,116,9.67,123.4,0,6,6,11,379,18.95,152.21,3,24,26,55,7.38,24.55,19.96,45,8.54,30.16,21.18,kolkata-knight-riders,2014,10000000
Ryan ten Doeschate,Netherlands,42,5.11,batting-allrounder,right-handed-bat,right-arm-fast-medium,10,533,41.0,132.92,3,27,19,8,326,23.29,138.72,1,26,15,13,7.0,18.85,16.15,2,7.23,47.0,39.0,kolkata-knight-riders,2014,10000000
Suryakumar Yadav,India,32,,batsman,right-handed-bat,right-arm-offbreak,8,1408,44.0,180.98,12,131,80,20,2644,30.05,136.78,16,284,84,-,-,-,-,0,8.0,0.0,0.0,kolkata-knight-riders,2014,7000000
Andre Russell,West Indies,34,,bowling-allrounder,right-handed-bat,right-arm-fast,19,741,19.5,156.0,1,42,62,15,2035,30.37,177.88,10,137,175,39,9.19,34.97,22.85,89,9.14,24.48,16.07,kolkata-knight-riders,2014,6000000
Manvinder Bisla,India,37,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,1,798,21.0,113.68,4,93,23,-,-,-,-,-,-,-,-,kolkata-knight-riders,2014,6000000
Veer Pratap Singh,India,30,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,0,0,0.0,0.0,0,0,0,-,-,-,-,10,8.71,29.6,20.4,kolkata-knight-riders,2014,4000000
Kuldeep Yadav,India,27,,bowler,left-handed-bat,left-arm-chinaman,3,43,43.0,89.58,0,2,0,11,105,15.0,82.68,0,8,2,44,6.89,14.02,12.2,61,8.32,27.13,19.57,kolkata-knight-riders,2014,4000000
Debabrata Das,India,36,,batsman,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,8,304,21.71,116.48,0,23,16,-,-,-,-,-,-,-,-,kolkata-knight-riders,2014,2000000
Michael Hussey,Australia,47,5.9058,batsman,left-handed-bat,right-arm-medium,11,721,37.95,136.29,4,58,25,7,1977,38.76,122.64,15,198,52,0,5.0,0.0,0.0,-,-,-,-,mumbai-indians,2014,50000000
Corey Anderson,New Zealand,31,,batting-allrounder,left-handed-bat,left-arm-fast-medium,4,485,23.1,138.18,2,30,26,7,538,24.45,127.19,3,40,31,14,8.25,35.36,25.71,11,10.46,47.09,27.0,mumbai-indians,2014,45000000
Pragyan Ojha,India,36,,bowler,left-handed-bat,left-arm-orthodox,1,10,0.0,166.67,0,0,1,11,16,1.33,35.56,0,0,0,10,6.29,13.2,12.6,89,7.37,26.2,21.34,mumbai-indians,2014,32500000
Zaheer Khan,India,44,,bowler,right-handed-bat,left-arm-fast-medium,2,13,6.5,130.0,0,0,1,18,117,8.36,82.98,0,11,2,17,7.64,26.35,20.71,102,7.59,27.27,21.57,mumbai-indians,2014,26000000
Aditya Tare,India,35,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,4,339,14.12,124.18,1,40,11,-,-,-,-,-,-,-,-,mumbai-indians,2014,16000000
Jasprit Bumrah,India,28,,bowler,right-handed-bat,right-arm-fast,5,8,4.0,61.54,0,1,0,19,56,8.0,84.85,0,4,1,70,6.62,20.23,18.33,145,7.4,23.31,18.91,mumbai-indians,2014,12000000
Jalaj Saxena,India,35,,batting-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9.0,0.0,0.0,mumbai-indians,2014,9000000
Josh Hazlewood,Australia,31,6.43076,bowler,left-handed-bat,right-arm-fast-medium,5,22,11.0,157.14,0,2,1,5,18,0.0,69.23,0,1,0,58,7.69,20.36,15.9,32,8.02,22.94,17.16,mumbai-indians,2014,5000000
Marchant de Lange,South Africa,32,,bowler,right-handed-bat,right-arm-fast,-,-,-,-,-,-,-,0,1,1.0,50.0,0,0,0,7,9.77,32.57,20.0,5,9.39,33.8,21.6,mumbai-indians,2014,3000000
Ben Dunk,Australia,35,,wk-batsman,left-handed-bat,right-arm-offbreak,0,99,19.8,143.48,0,8,6,0,40,13.33,114.29,0,7,0,-,-,-,-,-,-,-,-,mumbai-indians,2014,2000000
CM Gautam,India,36,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,3,169,16.9,112.67,0,17,6,-,-,-,-,-,-,-,-,mumbai-indians,2014,2000000
Pawan Suyal,India,33,,bowler,right-handed-bat,left-arm-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9.44,75.5,48.0,mumbai-indians,2014,1000000
Shreyas Gopal,India,29,,bowling-allrounder,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,8,180,12.86,106.51,0,19,2,-,-,-,-,49,8.1,26.14,19.37,mumbai-indians,2014,1000000
Steven Smith,Australia,33,,batsman,right-handed-bat,right-arm-legbreak,11,1008,25.2,125.22,4,85,24,21,2485,34.51,128.09,11,225,60,17,7.79,22.24,17.12,0,0.0,0.0,0.0,rajasthan-royals,2014,40000000
